Project ID,Monitoring Location ID,Activity Media Name,Activity Media Subdivision Name,Activity ID,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Latitude,Activity Longitude,Activity Type,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Comment,Characteristic Name,Result Analytical Method ID,Result Analytical Method Context,Result Value,Result Unit,Result Qualifier,Result Weight Basis,Result Sample Fraction,Result Value Type,Sample Collection Equipment Name,Result Detection Condition,Result Status ID,Result Detection Limit Type 1,Result Detection Limit Value 1,Result Detection Limit Unit 1,Result Detection Limit Type 2,Result Detection Limit Value 2,Result Detection Limit Unit 2,Laboratory Name,Laboratory Comment Text,Analysis Start Date,Analysis Start Time,Analysis Start Time Zone,Thermal Preservative,Sample Container Type,Sample Container Color,Chemical Preservative Used,,"Activity Horizontal Collection Method, Activity Horizontal Reference Datum, Analysis Start Time, Characteristic Name, Result Status ID"
10000007,KENAI_WQX-10000028,Water,Surface Water,KBL_m_43.0-2021-07-27-Toluene-Blank,7/27/2021,8:50:00,AKDT,60.489844,-150.636905,Quality Control Sample-Trip Blank,15,cm,"DEC Crew, RM43_Upstream_of_Dow_Island",Toluene,8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655041,8/5/2021,20:01:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000028,Water,Surface Water,KBL_m_43.0-2021-07-27-Xylenes (total)-Blank,7/27/2021,8:50:00,AKDT,60.489844,-150.636905,Quality Control Sample-Trip Blank,15,cm,"DEC Crew, RM43_Upstream_of_Dow_Island",Xylenes (total),8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,3,ug/L,Method Detection Level,1.5,ug/L,"SGS North America, Anchorage, Alaska",1214655041,8/5/2021,20:01:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-Benzene-Blank,7/27/2021,8:50:00,AKDT,60.54368,-151.22294,Quality Control Sample-Trip Blank,15,cm,"KWF Crew, RM1.5_Kenai_City_Dock",Benzene,8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.4,ug/L,Method Detection Level,0.2,ug/L,"SGS North America, Anchorage, Alaska",1214655038,8/5/2021,19:16:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-Ethylbenzene-Blank,7/27/2021,8:50:00,AKDT,60.54368,-151.22294,Quality Control Sample-Trip Blank,15,cm,"KWF Crew, RM1.5_Kenai_City_Dock",Ethylbenzene,8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655038,8/5/2021,19:16:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-o-Xylene-Blank,7/27/2021,8:50:00,AKDT,60.54368,-151.22294,Quality Control Sample-Trip Blank,15,cm,"KWF Crew, RM1.5_Kenai_City_Dock",o-Xylene,8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655038,8/5/2021,19:16:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-P & M -Xylene-Blank,7/27/2021,8:50:00,AKDT,60.54368,-151.22294,Quality Control Sample-Trip Blank,15,cm,"KWF Crew, RM1.5_Kenai_City_Dock",P & M -Xylene,8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,2,ug/L,Method Detection Level,1,ug/L,"SGS North America, Anchorage, Alaska",1214655038,8/5/2021,19:16:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-Toluene-Blank,7/27/2021,8:50:00,AKDT,60.54368,-151.22294,Quality Control Sample-Trip Blank,15,cm,"KWF Crew, RM1.5_Kenai_City_Dock",Toluene,8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655038,8/5/2021,19:16:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-Xylenes (total)-Blank,7/27/2021,8:50:00,AKDT,60.54368,-151.22294,Quality Control Sample-Trip Blank,15,cm,"KWF Crew, RM1.5_Kenai_City_Dock",Xylenes (total),8260D,USEPA,NA,ug/L,U,Sampled,Volatile,Actual,Water Bottle,Not Detected,,Limit of Quantitation,3,ug/L,Method Detection Level,1.5,ug/L,"SGS North America, Anchorage, Alaska",1214655038,8/5/2021,19:16:00,AKDT,Cold packs,Glass Vial,Brown,HCl,,
10000007,KENAI_WQX-10000008,Water,Surface Water,KBL_t_00.0-2021-05-11-Total P,5/11/2021,10:10:00,AKDT,60.550888,-151.268417,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0416,mg/L,=,Sampled,Total,Actual,Water Bottle,NA,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341015,5/18/2021,19:09:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000008,Water,Surface Water,KBL_t_00.0-2021-05-11-Total P-DUP,5/11/2021,10:18:00,AKDT,60.550888,-151.268417,Quality Control Field Replicate Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0394,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341016,5/18/2021,19:10:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
